Name,Phone,Email,Category,Website,Linkedin,Facebook,Instagram,Rank,Twitter,Address,City,Zip,Google Pixel,FB Pixel,Criteo Pixel,Google Analytics,Has Schema JSON,Mobile Friendly?,Using Wordpress?,Using Shopify?,Yelp Rating,Yelp Count,FB Rating,FB Count,Google Rating,Google Count
HVAC DFW Tx,(817) 484-0054,hvacdfwtx@gmail.com,Upgrade,http://www.hvacdfwtx.com,,,,,,5217 Elmdale Dr,Fort Worth,76137,,,,y,,y,,,,,4.5,2,,
GP Training & Tutoring HVAC,(469) 810-2250,gpgeneralprojects@gmail.com,Upgrade,,,,,,,2734 W Kingsley Rd,Garland,75041,,,,,,,,,,,,,,
DFW HVAC and Plumbing LLC,(972) 479-9962,dfwhvacandplumbing@yahoo.com,Upgrade,http://www.dfwhvacandplumbing.com/,,https://www.facebook.com/https://twitter.com/dfwhvacplumbing,,,https://www.twitter.com/dfwhvacplumbing,1220 EXECUTIVE DR WEST,Richardson,75081,,,,,,y,,,2.5,21,1,3,2,34
Las torres hvac,(469) 623-8404,iraelt@hotmail.com,Upgrade,,,,,,,,Irving,75062,,,,,,,,,,,,,,
Stovalls Hvac Installations,(972) 815-5033,stovallshvac@gmail.com,Upgrade,http://www.ebay.com/usr/stovallshvacinstallations,,https://www.facebook.com/stovallshvac,,,https://www.twitter.com/greensborocity,16473 Goss Lane,Terrell,75160,y,y,,y,,,,,,,5,14,,
The Right Choice Heating & Air,(972) 243-2560,support@therightchoicetexas.com,Upgrade,http://therightchoicetexas.com/,,,,,,2290 springlake rd,Farmers Branch,75234,,,,,,,,,,,5,45,4.7,120
Winsupply of Dallas HVAC,(469) 620-2014,tldrinkard@winsupplyinc.com,Upgrade,http://www.winsupplyofdallas.com,,,,,,1250 Champion Cir,Carrollton,75006,,,,y,,y,,,,,5,2,,
Comfort Force HVAC,(817) 231-3581,comfort_force@yahoo.com,Upgrade,http://comfortforcehvac.net,,,,,,304 S. Hampton,Crowley,76036,,,,,,,,,,,,,,
SHEVYs Hvac-R,(682) 667-1293,mckay_andre@yahoo.com,Upgrade,http://www.mckayshvacservices.com,,,,,,4910 Valley Ridge Dr 1029,Irving,75062,,,,,,,,,,,5,1,,
"Reed HVAC, Heating and Air",(469) 212-0059,reaham98@live.com,Upgrade,http://www.garlandhvac.net,,,,,,6018 Norfolk Dr,Garland,75044,,,,,,,,,,,,,,
Purity Air HVAC,(972) 607-4201,jesus@purityairhvac.com,Upgrade,https://www.purityairhvac.com/,,https://www.facebook.com/Purity-Air-HVAC-LLC-169607653453916/,,,,2300 Valley View Lane,Irving,75062,,,,y,,y,,,,,5,1,4.9,17
Jetstream HVAC Services,(844) 921-0169,jetstreamac@yahoo.com,Upgrade,http://www.airbyjetstream.com,,,,,,,Dallas,75218,,,,,,,,,,,5,11,,
Frisco HVAC Pros,(940) 222-4476,sandrapayne274@gmail.com,Upgrade,http://www.heatingandcoolingfriscotx.com,,,,,,15922 Eldorado Pkwy,Frisco,75035,y,,,y,y,y,y,,,,,,,
DIMAR HVAC Services,(682) 710-1130,ernesto@dimar-ac.com,Upgrade,http://dimar-ac.com,https://www.linkedin.com/company/dimarhvac,https://www.facebook.com/DIMARHVACServices/,,,https://www.twitter.com/dimarhvac,5043 David Strickland suite 103,Fort Worth,76119,y,,,y,,y,,,,,5,8,5,1
Art Electric & HVAC Inc.,(214) 316-5944,art@artelectrichvacinc.com,Upgrade,https://www.artelectrichvacinc.com/,https://www.linkedin.com/company/art-electric-,https://www.facebook.com/ArtElectricHVAC/,,,https://www.twitter.com/artelectrichvac,3842 pinebluff rockwall,Rockwall,75032,y,,,y,,y,,,5,3,5,1,,
LINEA HVAC Equipment Screens,(214) 846-8668,derrick.vanwest@hts.com,Upgrade,http://lineascreen.com,,,,,,1625 Wallace Dr,Carrollton,75006,,,,y,,y,y,,,,,,,
TEMSCO HVAC Services,(940) 497-1600,hvac@temsco.com,Upgrade,http://www.temsco.com/hvac,,,,,,1408 N Corinth St,Corinth,76208,,,,,,,,,,,5,8,,
On The Spot HVAC,(972) 955-0786,info@onthespothvac.com,Upgrade,http://www.onthespothvac.com,,,,,,3608 Wilshire Dr,Plano,75023,,,,,,y,y,,5,2,5,5,5,176
Frisco HVAC Repair,(469) 290-2511,firscohvacrepair@gmail.com,Upgrade,http://friscohvacrepair.com,,,,,,1601 Jewel Ln,Frisco,75034,,,,,,y,y,,,,,,,
5 Star HVAC Contractors,(214) 457-8441,jose@5starhvaccontractors.com,Upgrade,https://5starhvaccontractors.com/,https://www.linkedin.com/company/5-star-hvac-contractors/,https://www.facebook.com/5starhvaccontractors/,,72,,4514 Rowlett Rd Suite 100-B,Rowlett,75088,y,y,,y,y,y,y,,4.5,18,5,28,4.9,102
Mechanical Partners Inc.,(214) 343-0202,info@mechanicalpartners.com,Upgrade,http://www.mechanicalpartners.com/,,,,,,10217 Plano Road,Dallas,75238,,,,,,y,,,,,2.2,20,5,4
Atomic HVAC Services,(817) 478-8862,info@atomichvacservices.com,Upgrade,http://www.atomichvacservices.com/,,https://www.facebook.com/pages/Themefusion/101565403356430,,,https://www.twitter.com/Theme_Fusion,4700 Shiloh Rd,Flower Mound,75022,y,,,y,,y,y,,,,5,4,5,19
Super HVAC Tech,(469) 207-5982,superhvactech1@gmail.com,Upgrade,http://www.superhavtech.com,,,,,,,McKinney,75071,,,,,,,,,,,5,1,,
Dynamic Service Solutions,(972) 412-2800,dynamicreception@hotmail.com,Upgrade,http://www.dynamicservicesolutions.com,,,,,,3206 Main St Ste 109,Rowlett,75088,,,,y,,y,,,,,5,1,,
Art Electric & Hvac,(214) 316-5944,art@artelectrichvacinc.com,Upgrade,http://www.artsairconditioningrepair.com,https://www.linkedin.com/company/art-electric-,https://www.facebook.com/ArtElectricHVAC/,,,https://www.twitter.com/artelectrichvac,2670  Observation Trl,Rockwall,75032,y,,,y,,y,,,5,3,,,,
Mark Funderburk HVAC,(817) 201-5778,markfhvac@gmail.com,Upgrade,,,,,,,,Kennedale,76060,,,,,,,,,,,5,8,,
TAC - Solar Panels & HVAC,(940) 206-0340,brandon@tacsolarandac.com,Upgrade,http://tacsolarandac.com,,https://www.facebook.com/TAC-Tower-Association-167795103337595/,,,https://www.twitter.com/TACsolarTX,,Dallas,,,y,,y,,y,y,,,,5,8,,
Tucker Brothers HVAC Services,(817) 454-3323,tuckerbros@msn.com,Upgrade,,,,,,,,Fort Worth,,,,,,,,,,,,5,3,,
L & L HVAC Services Inc.,(469) 263-0121,lorencowley@yahoo.com,Upgrade,http://www.llhvacservicesinc.com/,,https://www.facebook.com/L-L-HVAC-Services-Inc-556088757929319/,,,,P O Box 2048,Forney,75126,,,,,,,,,,,5,8,,
Dunrite HVAC Services Inc,(972) 548-8280,steve@dunritetx.com,Upgrade,http://www.dunritetx.com,,https://www.facebook.com/pages/Dunrite-HVAC-Services-Inc/162323747142743,,,https://www.twitter.com/Dunriteservices,4064 FM 2933,McKinney,75071,,,,,,y,,,,,4.8,5,,
Lowes Home Improvement,(940) 320-1938,customercare@lowes.com,Upgrade,https://www.lowes.com/store/tx-denton/0183,,,,,,1255 S Loop 288,Denton,76205,,,,,,,,,,,3,104,3.9,509
Frost Brothers Heating & Air,(972) 874-1001,info@frostac.com,Upgrade,http://www.frostac.com/,,https://www.facebook.com/Frostac/,,,,320 Smith St,Lewisville,75057,,,,y,y,y,y,,4,4,4.5,37,4.8,58
"Extreme Sharp Air, LLC Arlington, TX",(817) 371-9721,bretsharp@sbcglobal.net,Upgrade,http://sharpairhvacarlington.com,,,,,,2411 Laredo Ct,Arlington,76015,,,,,,,,,,,4.6,8,,
Garland Heating & Air Conditioning,(972) 278-3506,bryan@garlandheatingandair.com,Upgrade,http://www.garlandheatingandair.com/,,https://www.facebook.com/GarlandHVAC/,,,,2113 S Garland Ave,Garland,75041,,,,,,y,y,,,,4.6,24,4.4,13
One Source Refrigeration & HVAC,(972) 442-4556,onesourcerefrigeration@yahoo.com,Upgrade,http://www.onesourcerefrigeration.com,,,,,,2107 High Point Dr,Garland,75048,,,,,,,,,,,,,,
Crows Heat & Air,(972) 548-1323,crowsheatandair@yahoo.com,Upgrade,http://www.crowsheatandair.com,,https://www.facebook.com/Crows-Heat-Air-133964653354795/,,,,1132 Westmoreland Dr,McKinney,75069,,,,y,,y,y,,,,4.7,42,,
Airzon LLC,(817) 946-6317,rthottam@gmail.com,Upgrade,https://www.airzontx.com/,,,,,,6802 GLEN DALE DR,Arlington,76017,,,,,,,,,,,,,,
AVelocity Heating & Air Conditioning,(214) 597-9792,avelocityhvac@yahoo.com,Upgrade,http://www.avelocityair.com/,,,,,,202 S Tillery Ave,Dallas,75211,,,,,,,,,,,4.9,14,,
Barts Heating & Air,(940) 242-3456,bartshvac@verizon.net,Upgrade,http://www.bartshvac.com,,https://www.facebook.com/BartsHVAC,,,,11720 Ivey Rd,Justin,76247,,,,,,,,,,,5,42,,
Missionary Mechanical HVACR Specialist,(817) 303-5353,dschlemeyer11261958@gmail.com,Upgrade,,,,,,,1844 W Division St Ste 208,Arlington,76012,,,,,,,,,,,,,,
Captain Air Heating & Cooling,(972) 757-8532,captainair.office@gmail.com,Upgrade,http://captainairtexas.com,,https://www.facebook.com/CaptainAirHVAC,,,,1930 Creekside Dr.,Rockwall,75087,,,,y,,y,,,5,2,5,15,,
Reel-Air Ac & Heating LLC,(972) 428-8007,gayla@reelairac.com,Upgrade,http://reelairac.com,,https://www.facebook.com/ReelAirHvac/,,,,1629 WOODCREST LN,Carrollton,75006,y,,,y,,y,y,,,,5,10,,
"Brown and Sons Plumbing,Air Conditioning & Heating",(940) 220-6704,kenbrown@brownandsons.com,Upgrade,http://www.brownandsons.com,,https://www.facebook.com/pages/Brown-and-Sons-PlumbingAir-Conditioning-Heating/118424441529574,,,https://www.twitter.com/BrownPlumbingAC,109 S Woodrow Ln,Denton,76205,,,,y,y,y,y,,1.5,7,3.8,18,,
Max Mechanical Air Conditioning & Heating,(817) 518-9171,maxmech@sbcglobal.net,Upgrade,http://www.maxmechanical.com/,https://www.linkedin.com/company/max-mechanical,https://www.facebook.com/max.mech.HVAC,,,https://www.twitter.com/Maxmechanical,2313 Michigan Ct,Arlington,76016,,,,y,,y,y,,,,,,4.6,70
"Levy & Son, A Service Experts Company",(972) 241-8503,service@levyandson.com,Upgrade,https://www.levyandson.com/,,https://www.facebook.com/Levy-Son-1068947813127787/,,7,https://www.twitter.com/serviceexperts,"A Service Experts Company,  11024 Indian Trail,  Dallas,  TX 75229",,11024,y,,,y,,y,,,,,,,4.8,284
On Time Experts,(214) 267-2007,contactus@theontimeexperts.com,Upgrade,http://www.theontimeexperts.com/,https://www.linkedin.com/company/9393149/,https://www.facebook.com/theontimeexperts/,,15,https://www.twitter.com/TheOnTimeExpert,1510 Stevens St,Dallas,75218,y,,,y,y,y,y,,2.5,26,4.7,423,4.8,631
Texas AirZone,(214) 828-2665,chris@texasairzone.com,Upgrade,http://www.texasairzone.com/,,https://www.facebook.com/pages/Texas-AirZone-LLC/151724138202720,,29,https://www.twitter.com/TexasAirZone,"10763 Mapleridge Dr,  Dallas,  TX 75238",,10763,,,,y,,y,,,,,,,4.7,12
Ferguson HVAC Supply,(214) 221-0012,contract@detailsuser-loggedin-notification.jsp.at,Upgrade,https://www.ferguson.com/branch/petal-dallas-tx-hvac,,https://www.facebook.com/FergusonShowrooms,,17,https://www.twitter.com/ferguson_fei,"10990 Petal St %231000,  Dallas,  TX 75238",,10990,,,,,,y,,,,,,,4.7,3
Quality 1 Energy Systems,(214) 348-9588,service@q1es.com,Upgrade,http://www.q1es.com/,,,,40,,"10870 Plano Rd,  Dallas,  TX 75238",,10870,,,,y,,y,y,,,,,,4.7,15
Metro Air Conditioning,(214) 390-3740,servicecalls@metroacs.com,Upgrade,https://www.metroacs.com/,,https://www.facebook.com/MetroACS/,,3,https://www.twitter.com/Metro_ACS,126 W Illinois Ave,Dallas,75224,y,,,y,,y,y,,,,4.8,23,4.7,63
Dallas Plumbing Company,(214) 340-6300,preferred@dallasplumbing.com,Upgrade,http://www.dallasplumbing.com/,,https://www.facebook.com/pages/Dallas-TX/Dallas-Plumbing-Company/121509061210745,,,https://www.twitter.com/DalPlumbingCo,"11055 Plano Rd,  Dallas,  TX 75238",,11055,,,,y,,y,,,,,,,4.1,43
Town East Heating & Air Conditioning,(972) 289-1654,service@tehvac.com,Upgrade,http://www.tehvac.com/,,https://www.facebook.com/Town-East-Heating-Air-Conditioning-Co-LLC-188873584459423/,,,,"10215 Miller Rd,  Dallas,  TX 75238",,10215,,,,,,y,,,,,,,3.4,8
Harlen Johnson Heating & Air Conditioning Inc,(972) 241-7771,sales@hjac.com,Upgrade,http://hjac.com/,,https://www.facebook.com/Harlen-Johnson-Heating-Air-Conditioning-Inc-154968524538774/,,44,,2643 Royal Ln,Dallas,75229,,,,y,,y,,,,,3,2,3.9,7
Open To Public HVAC Parts,(214) 340-9421,parts@otp-hvac.com,Upgrade,http://www.otp-hvac.com/,,https://www.facebook.com/OTPhvacparts/,,,,"10226 Plano Rd %23104,  Dallas,  TX 75238",,10226,y,,,,,y,y,,,,,,4.8,20
Enertia HVAC/R,(214) 550-3458,enertiallc@gmail.com,Upgrade,https://www.enertiahvac.com/,https://www.linkedin.com/company/enertiahvacr,https://www.facebook.com/pg/EnertiaAirConditioningHeatingVentilation/reviews/,,84,https://www.twitter.com/enertiahvacr,"13111 Meandering Way,  Dallas,  TX 75240",,13111,y,y,,y,,y,y,,,,,,4.4,7
"North Dallas Air Conditioning & Heating Co., Inc",(972) 484-1903,info@northdallasac.com,Upgrade,http://northdallasac.com/,,,,,,"Inc,  2306 Springlake Rd,  Farmers Branch,  TX 75234",,75234,,,,,,,,,,,,,4.8,4
United Refrigeration,(972) 620-8060,info@uri.com,Upgrade,http://www.uri.com/,,,,,,"2840 Virgo Ln,  Dallas,  TX 75229",,75229,,,,y,,,,,,,,,4.8,9
"BIMS, Inc.",(214) 467-2653,dispatch@bellomyims.com,Upgrade,http://www.bellomyims.com/,https://www.linkedin.com/company/bellomy-heating-and-air/,https://www.facebook.com/BellomyIMS/,,81,,4424 Mint Way,Dallas,75236,y,y,,y,y,y,y,,,,5,5,3.5,6
Quigley Heating & Air Conditioning,(972) 992-5629,cleanducts@quigleyac.com,Upgrade,http://www.quigleyac.com/,https://www.linkedin.com/company/quigley-heating-,https://www.facebook.com/pages/Quigley-Heating-and-Air/119769981485568,,20,https://www.twitter.com/QuigleyAC,2616 Manor Way,Dallas,75235,y,y,,y,y,y,y,,3.5,18,4.8,17,4.7,65
Standard Supply Distribution Center & Corporate Offices,(214) 630-7800,info@ssdhvac.com,Upgrade,http://www.ssdhvac.com/,,https://www.facebook.com/1884245478273517,,63,https://www.twitter.com/ssdhvac,1431 Regal Row,Dallas,75247,,,,y,,y,,,,,4.3,45,4,16
Neal & Associates,(214) 340-1464,info@nealandassociates.com,Upgrade,http://www.nealandassociates.com/,,,,,,"10610 Boomer Cir,  Dallas,  TX 75238",,10610,,,,,,y,y,,,,,,3,2
"Sun Air Conditioning, Inc.",(214) 956-9151,info@sunairandheating.com,Upgrade,https://sunairandheating.com/,,,,,,"Inc.,  3321 Towerwood Dr %23130,  Dallas,  TX 75234",,23130,,,,,,y,y,,,,,,3.7,3
Barbosa Plumbing & Air Conditioning,(214) 351-7030,info@barbosamechanical.com,Upgrade,http://www.barbosamechanical.com,,https://www.facebook.com/BarbosaPlumbingandAC,,24,https://www.twitter.com/BarbosaMech,9810 Abernathy Ave,Dallas,75220,,y,,y,,y,y,,,,5,35,4.7,160
Eco Energy Heating & Cooling llc,(469) 434-6818,ecoenergyac@gmail.com,Upgrade,http://www.ecoenergyheatingandcooling.com/,,https://www.facebook.com/Eco-Energy-Heating-Cooling-633071266867315/,,,,2550 Southwell Rd,Dallas,75229,,,,,,y,y,,,,3,2,5,4
A&R Mechanical Contractors,(214) 236-2215,contact@a-n-r-mechanical.com,Upgrade,http://www.a-n-r-mechanical.com/,,,,,,2127 W Amherst Ave,Dallas,75235,,,,,,,,,,,5,1,1,1
AC Metroplex Plumbing,(214) 566-3239,bakerbrothersheatandair@gmail.com,Upgrade,http://metroplexacandheating.com/,,https://www.facebook.com/Metroplex-AC-and-Heating-451154864934809/,,,,"17414 Dowell Cir,  Dallas,  TX 75252",,17414,,,,,,y,,,,,,,4.3,6
Ferguson HVAC Supply,(972) 245-5747,contract@detailsuser-loggedin-notification.jsp.at,Upgrade,https://www.ferguson.com/branch/carrollton-tx-hvac,,https://www.facebook.com/FergusonShowrooms,,17,https://www.twitter.com/ferguson_fei,"1705 Wallace Dr %23112,  Carrollton,  TX 75006",,23112,,,,,,y,,,,,,,4.3,22
A Perfec Temp,(214) 358-0540,aperfectemp@yahoo.com,Upgrade,http://www.aperfectemp.com/,,https://www.facebook.com/pages/A-PerfecTemp/146173555439534,,,,"2650 Lombardy Ln,  Dallas,  TX 75220",,75220,,,,,,,,,,,,,,
Blackall Mechanical Inc,(972) 380-0880,mallison@blackallmech.com,Upgrade,http://blackallmech.com/,https://www.linkedin.com/company/blackall-mechanical-inc-,https://www.facebook.com/Blackallmechanicalinc,,,https://www.twitter.com/blackallres,3724 Arapaho Road,Addison,75001,,,,y,,y,y,,,,4.2,5,4.3,6
